idx	kind	dataset	backbone	seed	delta_coarse	delta_fine	alpha	batch_budget	experiment	sbatch
32	coarse_only	tinyimagenet	alexnet	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_tin_alex_c070_f050_a100_s3_b050.sbatch
33	coarse_only	tinyimagenet	alexnet	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_tin_alex_c070_f050_a100_s4_b050.sbatch
34	coarse_only	tinyimagenet	alexnet	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_tin_alex_c070_f050_a100_s5_b050.sbatch
35	coarse_only	tinyimagenet	resnet18	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_tin_r18_c070_f050_a100_s1_b050.sbatch
36	coarse_only	tinyimagenet	resnet18	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_tin_r18_c070_f050_a100_s2_b050.sbatch
37	coarse_only	tinyimagenet	resnet18	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_tin_r18_c070_f050_a100_s3_b050.sbatch
38	coarse_only	tinyimagenet	resnet18	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_tin_r18_c070_f050_a100_s4_b050.sbatch
39	coarse_only	tinyimagenet	resnet18	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_tin_r18_c070_f050_a100_s5_b050.sbatch
40	coarse_only	tinyimagenet	resnet50	1	0.70	0.50	1.00	50	MSTC_C070_F050_A100_1_50b	coarse_only_tin_r50_c070_f050_a100_s1_b050.sbatch
41	coarse_only	tinyimagenet	resnet50	2	0.70	0.50	1.00	50	MSTC_C070_F050_A100_2_50b	coarse_only_tin_r50_c070_f050_a100_s2_b050.sbatch
42	coarse_only	tinyimagenet	resnet50	3	0.70	0.50	1.00	50	MSTC_C070_F050_A100_3_50b	coarse_only_tin_r50_c070_f050_a100_s3_b050.sbatch
43	coarse_only	tinyimagenet	resnet50	4	0.70	0.50	1.00	50	MSTC_C070_F050_A100_4_50b	coarse_only_tin_r50_c070_f050_a100_s4_b050.sbatch
44	coarse_only	tinyimagenet	resnet50	5	0.70	0.50	1.00	50	MSTC_C070_F050_A100_5_50b	coarse_only_tin_r50_c070_f050_a100_s5_b050.sbatch
45	fine_only	cifar10	alexnet	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_c10_alex_c070_f050_a000_s1_b050.sbatch
46	fine_only	cifar10	alexnet	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_c10_alex_c070_f050_a000_s2_b050.sbatch
47	fine_only	cifar10	alexnet	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_c10_alex_c070_f050_a000_s3_b050.sbatch
48	fine_only	cifar10	alexnet	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_c10_alex_c070_f050_a000_s4_b050.sbatch
49	fine_only	cifar10	alexnet	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_c10_alex_c070_f050_a000_s5_b050.sbatch
50	fine_only	cifar10	resnet18	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_c10_r18_c070_f050_a000_s1_b050.sbatch
51	fine_only	cifar10	resnet18	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_c10_r18_c070_f050_a000_s2_b050.sbatch
52	fine_only	cifar10	resnet18	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_c10_r18_c070_f050_a000_s3_b050.sbatch
53	fine_only	cifar10	resnet18	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_c10_r18_c070_f050_a000_s4_b050.sbatch
54	fine_only	cifar10	resnet18	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_c10_r18_c070_f050_a000_s5_b050.sbatch
55	fine_only	cifar10	resnet50	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_c10_r50_c070_f050_a000_s1_b050.sbatch
56	fine_only	cifar10	resnet50	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_c10_r50_c070_f050_a000_s2_b050.sbatch
57	fine_only	cifar10	resnet50	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_c10_r50_c070_f050_a000_s3_b050.sbatch
58	fine_only	cifar10	resnet50	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_c10_r50_c070_f050_a000_s4_b050.sbatch
59	fine_only	cifar10	resnet50	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_c10_r50_c070_f050_a000_s5_b050.sbatch
60	fine_only	cifar100	alexnet	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_c100_alex_c070_f050_a000_s1_b050.sbatch
61	fine_only	cifar100	alexnet	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_c100_alex_c070_f050_a000_s2_b050.sbatch
62	fine_only	cifar100	alexnet	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_c100_alex_c070_f050_a000_s3_b050.sbatch
63	fine_only	cifar100	alexnet	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_c100_alex_c070_f050_a000_s4_b050.sbatch
64	fine_only	cifar100	alexnet	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_c100_alex_c070_f050_a000_s5_b050.sbatch
65	fine_only	cifar100	resnet18	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_c100_r18_c070_f050_a000_s1_b050.sbatch
66	fine_only	cifar100	resnet18	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_c100_r18_c070_f050_a000_s2_b050.sbatch
67	fine_only	cifar100	resnet18	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_c100_r18_c070_f050_a000_s3_b050.sbatch
68	fine_only	cifar100	resnet18	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_c100_r18_c070_f050_a000_s4_b050.sbatch
69	fine_only	cifar100	resnet18	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_c100_r18_c070_f050_a000_s5_b050.sbatch
70	fine_only	cifar100	resnet50	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_c100_r50_c070_f050_a000_s1_b050.sbatch
71	fine_only	cifar100	resnet50	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_c100_r50_c070_f050_a000_s2_b050.sbatch
72	fine_only	cifar100	resnet50	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_c100_r50_c070_f050_a000_s3_b050.sbatch
73	fine_only	cifar100	resnet50	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_c100_r50_c070_f050_a000_s4_b050.sbatch
74	fine_only	cifar100	resnet50	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_c100_r50_c070_f050_a000_s5_b050.sbatch
75	fine_only	tinyimagenet	alexnet	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_tin_alex_c070_f050_a000_s1_b050.sbatch
76	fine_only	tinyimagenet	alexnet	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_tin_alex_c070_f050_a000_s2_b050.sbatch
77	fine_only	tinyimagenet	alexnet	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_tin_alex_c070_f050_a000_s3_b050.sbatch
78	fine_only	tinyimagenet	alexnet	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_tin_alex_c070_f050_a000_s4_b050.sbatch
79	fine_only	tinyimagenet	alexnet	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_tin_alex_c070_f050_a000_s5_b050.sbatch
80	fine_only	tinyimagenet	resnet18	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_tin_r18_c070_f050_a000_s1_b050.sbatch
81	fine_only	tinyimagenet	resnet18	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_tin_r18_c070_f050_a000_s2_b050.sbatch
82	fine_only	tinyimagenet	resnet18	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_tin_r18_c070_f050_a000_s3_b050.sbatch
83	fine_only	tinyimagenet	resnet18	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_tin_r18_c070_f050_a000_s4_b050.sbatch
84	fine_only	tinyimagenet	resnet18	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_tin_r18_c070_f050_a000_s5_b050.sbatch
85	fine_only	tinyimagenet	resnet50	1	0.70	0.50	0.00	50	MSTC_C070_F050_A000_1_50b	fine_only_tin_r50_c070_f050_a000_s1_b050.sbatch
86	fine_only	tinyimagenet	resnet50	2	0.70	0.50	0.00	50	MSTC_C070_F050_A000_2_50b	fine_only_tin_r50_c070_f050_a000_s2_b050.sbatch
87	fine_only	tinyimagenet	resnet50	3	0.70	0.50	0.00	50	MSTC_C070_F050_A000_3_50b	fine_only_tin_r50_c070_f050_a000_s3_b050.sbatch
88	fine_only	tinyimagenet	resnet50	4	0.70	0.50	0.00	50	MSTC_C070_F050_A000_4_50b	fine_only_tin_r50_c070_f050_a000_s4_b050.sbatch
89	fine_only	tinyimagenet	resnet50	5	0.70	0.50	0.00	50	MSTC_C070_F050_A000_5_50b	fine_only_tin_r50_c070_f050_a000_s5_b050.sbatch
90	scale_coarse	cifar10	resnet18	1	0.60	0.40	1.00	50	MSTC_C060_F040_A100_1_50b	scale_coarse_c10_r18_c060_f040_a100_s1_b050.sbatch
91	scale_coarse	cifar10	resnet18	2	0.60	0.40	1.00	50	MSTC_C060_F040_A100_2_50b	scale_coarse_c10_r18_c060_f040_a100_s2_b050.sbatch
92	scale_coarse	cifar10	resnet18	3	0.60	0.40	1.00	50	MSTC_C060_F040_A100_3_50b	scale_coarse_c10_r18_c060_f040_a100_s3_b050.sbatch
93	scale_coarse	cifar10	resnet18	4	0.60	0.40	1.00	50	MSTC_C060_F040_A100_4_50b	scale_coarse_c10_r18_c060_f040_a100_s4_b050.sbatch
94	scale_coarse	cifar10	resnet18	5	0.60	0.40	1.00	50	MSTC_C060_F040_A100_5_50b	scale_coarse_c10_r18_c060_f040_a100_s5_b050.sbatch
95	scale_coarse	cifar10	resnet18	1	0.80	0.60	1.00	50	MSTC_C080_F060_A100_1_50b	scale_coarse_c10_r18_c080_f060_a100_s1_b050.sbatch
96	scale_coarse	cifar10	resnet18	2	0.80	0.60	1.00	50	MSTC_C080_F060_A100_2_50b	scale_coarse_c10_r18_c080_f060_a100_s2_b050.sbatch
97	scale_coarse	cifar10	resnet18	3	0.80	0.60	1.00	50	MSTC_C080_F060_A100_3_50b	scale_coarse_c10_r18_c080_f060_a100_s3_b050.sbatch
98	scale_coarse	cifar10	resnet18	4	0.80	0.60	1.00	50	MSTC_C080_F060_A100_4_50b	scale_coarse_c10_r18_c080_f060_a100_s4_b050.sbatch
99	scale_coarse	cifar10	resnet18	5	0.80	0.60	1.00	50	MSTC_C080_F060_A100_5_50b	scale_coarse_c10_r18_c080_f060_a100_s5_b050.sbatch
100	scale_coarse	cifar100	resnet18	1	0.60	0.40	1.00	50	MSTC_C060_F040_A100_1_50b	scale_coarse_c100_r18_c060_f040_a100_s1_b050.sbatch
101	scale_coarse	cifar100	resnet18	2	0.60	0.40	1.00	50	MSTC_C060_F040_A100_2_50b	scale_coarse_c100_r18_c060_f040_a100_s2_b050.sbatch
102	scale_coarse	cifar100	resnet18	3	0.60	0.40	1.00	50	MSTC_C060_F040_A100_3_50b	scale_coarse_c100_r18_c060_f040_a100_s3_b050.sbatch
103	scale_coarse	cifar100	resnet18	4	0.60	0.40	1.00	50	MSTC_C060_F040_A100_4_50b	scale_coarse_c100_r18_c060_f040_a100_s4_b050.sbatch
104	scale_coarse	cifar100	resnet18	5	0.60	0.40	1.00	50	MSTC_C060_F040_A100_5_50b	scale_coarse_c100_r18_c060_f040_a100_s5_b050.sbatch
105	scale_coarse	cifar100	resnet18	1	0.80	0.60	1.00	50	MSTC_C080_F060_A100_1_50b	scale_coarse_c100_r18_c080_f060_a100_s1_b050.sbatch
106	scale_coarse	cifar100	resnet18	2	0.80	0.60	1.00	50	MSTC_C080_F060_A100_2_50b	scale_coarse_c100_r18_c080_f060_a100_s2_b050.sbatch
107	scale_coarse	cifar100	resnet18	3	0.80	0.60	1.00	50	MSTC_C080_F060_A100_3_50b	scale_coarse_c100_r18_c080_f060_a100_s3_b050.sbatch
108	scale_coarse	cifar100	resnet18	4	0.80	0.60	1.00	50	MSTC_C080_F060_A100_4_50b	scale_coarse_c100_r18_c080_f060_a100_s4_b050.sbatch
109	scale_coarse	cifar100	resnet18	5	0.80	0.60	1.00	50	MSTC_C080_F060_A100_5_50b	scale_coarse_c100_r18_c080_f060_a100_s5_b050.sbatch
110	scale_coarse	tinyimagenet	resnet18	1	0.60	0.40	1.00	50	MSTC_C060_F040_A100_1_50b	scale_coarse_tin_r18_c060_f040_a100_s1_b050.sbatch
111	scale_coarse	tinyimagenet	resnet18	2	0.60	0.40	1.00	50	MSTC_C060_F040_A100_2_50b	scale_coarse_tin_r18_c060_f040_a100_s2_b050.sbatch
112	scale_coarse	tinyimagenet	resnet18	3	0.60	0.40	1.00	50	MSTC_C060_F040_A100_3_50b	scale_coarse_tin_r18_c060_f040_a100_s3_b050.sbatch
113	scale_coarse	tinyimagenet	resnet18	4	0.60	0.40	1.00	50	MSTC_C060_F040_A100_4_50b	scale_coarse_tin_r18_c060_f040_a100_s4_b050.sbatch
114	scale_coarse	tinyimagenet	resnet18	5	0.60	0.40	1.00	50	MSTC_C060_F040_A100_5_50b	scale_coarse_tin_r18_c060_f040_a100_s5_b050.sbatch
115	scale_coarse	tinyimagenet	resnet18	1	0.80	0.60	1.00	50	MSTC_C080_F060_A100_1_50b	scale_coarse_tin_r18_c080_f060_a100_s1_b050.sbatch
116	scale_coarse	tinyimagenet	resnet18	2	0.80	0.60	1.00	50	MSTC_C080_F060_A100_2_50b	scale_coarse_tin_r18_c080_f060_a100_s2_b050.sbatch
117	scale_coarse	tinyimagenet	resnet18	3	0.80	0.60	1.00	50	MSTC_C080_F060_A100_3_50b	scale_coarse_tin_r18_c080_f060_a100_s3_b050.sbatch
118	scale_coarse	tinyimagenet	resnet18	4	0.80	0.60	1.00	50	MSTC_C080_F060_A100_4_50b	scale_coarse_tin_r18_c080_f060_a100_s4_b050.sbatch
119	scale_coarse	tinyimagenet	resnet18	5	0.80	0.60	1.00	50	MSTC_C080_F060_A100_5_50b	scale_coarse_tin_r18_c080_f060_a100_s5_b050.sbatch
120	scale_fine	cifar10	resnet18	1	0.60	0.40	0.00	50	MSTC_C060_F040_A000_1_50b	scale_fine_c10_r18_c060_f040_a000_s1_b050.sbatch
121	scale_fine	cifar10	resnet18	2	0.60	0.40	0.00	50	MSTC_C060_F040_A000_2_50b	scale_fine_c10_r18_c060_f040_a000_s2_b050.sbatch
122	scale_fine	cifar10	resnet18	3	0.60	0.40	0.00	50	MSTC_C060_F040_A000_3_50b	scale_fine_c10_r18_c060_f040_a000_s3_b050.sbatch
123	scale_fine	cifar10	resnet18	4	0.60	0.40	0.00	50	MSTC_C060_F040_A000_4_50b	scale_fine_c10_r18_c060_f040_a000_s4_b050.sbatch
124	scale_fine	cifar10	resnet18	5	0.60	0.40	0.00	50	MSTC_C060_F040_A000_5_50b	scale_fine_c10_r18_c060_f040_a000_s5_b050.sbatch
125	scale_fine	cifar10	resnet18	1	0.80	0.60	0.00	50	MSTC_C080_F060_A000_1_50b	scale_fine_c10_r18_c080_f060_a000_s1_b050.sbatch
126	scale_fine	cifar10	resnet18	2	0.80	0.60	0.00	50	MSTC_C080_F060_A000_2_50b	scale_fine_c10_r18_c080_f060_a000_s2_b050.sbatch
127	scale_fine	cifar10	resnet18	3	0.80	0.60	0.00	50	MSTC_C080_F060_A000_3_50b	scale_fine_c10_r18_c080_f060_a000_s3_b050.sbatch
128	scale_fine	cifar10	resnet18	4	0.80	0.60	0.00	50	MSTC_C080_F060_A000_4_50b	scale_fine_c10_r18_c080_f060_a000_s4_b050.sbatch
129	scale_fine	cifar10	resnet18	5	0.80	0.60	0.00	50	MSTC_C080_F060_A000_5_50b	scale_fine_c10_r18_c080_f060_a000_s5_b050.sbatch
130	scale_fine	cifar100	resnet18	1	0.60	0.40	0.00	50	MSTC_C060_F040_A000_1_50b	scale_fine_c100_r18_c060_f040_a000_s1_b050.sbatch
131	scale_fine	cifar100	resnet18	2	0.60	0.40	0.00	50	MSTC_C060_F040_A000_2_50b	scale_fine_c100_r18_c060_f040_a000_s2_b050.sbatch
132	scale_fine	cifar100	resnet18	3	0.60	0.40	0.00	50	MSTC_C060_F040_A000_3_50b	scale_fine_c100_r18_c060_f040_a000_s3_b050.sbatch
133	scale_fine	cifar100	resnet18	4	0.60	0.40	0.00	50	MSTC_C060_F040_A000_4_50b	scale_fine_c100_r18_c060_f040_a000_s4_b050.sbatch
134	scale_fine	cifar100	resnet18	5	0.60	0.40	0.00	50	MSTC_C060_F040_A000_5_50b	scale_fine_c100_r18_c060_f040_a000_s5_b050.sbatch
135	scale_fine	cifar100	resnet18	1	0.80	0.60	0.00	50	MSTC_C080_F060_A000_1_50b	scale_fine_c100_r18_c080_f060_a000_s1_b050.sbatch
136	scale_fine	cifar100	resnet18	2	0.80	0.60	0.00	50	MSTC_C080_F060_A000_2_50b	scale_fine_c100_r18_c080_f060_a000_s2_b050.sbatch
137	scale_fine	cifar100	resnet18	3	0.80	0.60	0.00	50	MSTC_C080_F060_A000_3_50b	scale_fine_c100_r18_c080_f060_a000_s3_b050.sbatch
138	scale_fine	cifar100	resnet18	4	0.80	0.60	0.00	50	MSTC_C080_F060_A000_4_50b	scale_fine_c100_r18_c080_f060_a000_s4_b050.sbatch
139	scale_fine	cifar100	resnet18	5	0.80	0.60	0.00	50	MSTC_C080_F060_A000_5_50b	scale_fine_c100_r18_c080_f060_a000_s5_b050.sbatch
140	scale_fine	tinyimagenet	resnet18	1	0.60	0.40	0.00	50	MSTC_C060_F040_A000_1_50b	scale_fine_tin_r18_c060_f040_a000_s1_b050.sbatch
141	scale_fine	tinyimagenet	resnet18	2	0.60	0.40	0.00	50	MSTC_C060_F040_A000_2_50b	scale_fine_tin_r18_c060_f040_a000_s2_b050.sbatch
142	scale_fine	tinyimagenet	resnet18	3	0.60	0.40	0.00	50	MSTC_C060_F040_A000_3_50b	scale_fine_tin_r18_c060_f040_a000_s3_b050.sbatch
143	scale_fine	tinyimagenet	resnet18	4	0.60	0.40	0.00	50	MSTC_C060_F040_A000_4_50b	scale_fine_tin_r18_c060_f040_a000_s4_b050.sbatch
144	scale_fine	tinyimagenet	resnet18	5	0.60	0.40	0.00	50	MSTC_C060_F040_A000_5_50b	scale_fine_tin_r18_c060_f040_a000_s5_b050.sbatch
145	scale_fine	tinyimagenet	resnet18	1	0.80	0.60	0.00	50	MSTC_C080_F060_A000_1_50b	scale_fine_tin_r18_c080_f060_a000_s1_b050.sbatch
146	scale_fine	tinyimagenet	resnet18	2	0.80	0.60	0.00	50	MSTC_C080_F060_A000_2_50b	scale_fine_tin_r18_c080_f060_a000_s2_b050.sbatch
147	scale_fine	tinyimagenet	resnet18	3	0.80	0.60	0.00	50	MSTC_C080_F060_A000_3_50b	scale_fine_tin_r18_c080_f060_a000_s3_b050.sbatch
148	scale_fine	tinyimagenet	resnet18	4	0.80	0.60	0.00	50	MSTC_C080_F060_A000_4_50b	scale_fine_tin_r18_c080_f060_a000_s4_b050.sbatch
149	scale_fine	tinyimagenet	resnet18	5	0.80	0.60	0.00	50	MSTC_C080_F060_A000_5_50b	scale_fine_tin_r18_c080_f060_a000_s5_b050.sbatch
150	budget_coarse	cifar100	resnet18	1	0.70	0.50	1.00	100	MSTC_C070_F050_A100_1_100b	budget_coarse_c100_r18_c070_f050_a100_s1_b100.sbatch
151	budget_coarse	cifar100	resnet18	2	0.70	0.50	1.00	100	MSTC_C070_F050_A100_2_100b	budget_coarse_c100_r18_c070_f050_a100_s2_b100.sbatch
152	budget_coarse	cifar100	resnet18	3	0.70	0.50	1.00	100	MSTC_C070_F050_A100_3_100b	budget_coarse_c100_r18_c070_f050_a100_s3_b100.sbatch
153	budget_coarse	cifar100	resnet18	4	0.70	0.50	1.00	100	MSTC_C070_F050_A100_4_100b	budget_coarse_c100_r18_c070_f050_a100_s4_b100.sbatch
154	budget_coarse	cifar100	resnet18	5	0.70	0.50	1.00	100	MSTC_C070_F050_A100_5_100b	budget_coarse_c100_r18_c070_f050_a100_s5_b100.sbatch
155	budget_coarse	cifar100	resnet18	1	0.70	0.50	1.00	500	MSTC_C070_F050_A100_1_500b	budget_coarse_c100_r18_c070_f050_a100_s1_b500.sbatch
156	budget_coarse	cifar100	resnet18	2	0.70	0.50	1.00	500	MSTC_C070_F050_A100_2_500b	budget_coarse_c100_r18_c070_f050_a100_s2_b500.sbatch
157	budget_coarse	cifar100	resnet18	3	0.70	0.50	1.00	500	MSTC_C070_F050_A100_3_500b	budget_coarse_c100_r18_c070_f050_a100_s3_b500.sbatch
158	budget_coarse	cifar100	resnet18	4	0.70	0.50	1.00	500	MSTC_C070_F050_A100_4_500b	budget_coarse_c100_r18_c070_f050_a100_s4_b500.sbatch
159	budget_coarse	cifar100	resnet18	5	0.70	0.50	1.00	500	MSTC_C070_F050_A100_5_500b	budget_coarse_c100_r18_c070_f050_a100_s5_b500.sbatch
