dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR10,resnet18,probcover,1,probcover_1_50b,complete,101,75.13999773025513,74.88999862670899,63.45009751480406,62.60871134418073,15520.404761314392,75.37027192115784,15739.045665025711,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/probcover_1_50b
CIFAR10,resnet18,probcover,2,probcover_2_50b,complete,101,74.97999828338624,73.4099984550476,63.540196425183,62.4022756548211,15562.121003389359,100.26764130592346,15805.684916257858,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/probcover_2_50b
CIFAR10,resnet18,probcover,3,probcover_3_50b,complete,101,73.27999809265137,72.98999834060669,62.524552939197804,62.15653314156107,15664.769612312317,108.2782666683197,15917.590309381485,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/probcover_3_50b
CIFAR10,resnet18,probcover,4,probcover_4_50b,complete,101,73.49999816894531,73.13999797821045,63.049107404463356,62.29158262658826,15673.509799003601,95.66765594482422,15914.531801462173,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/probcover_4_50b
CIFAR10,resnet18,probcover,5,probcover_5_50b,complete,101,75.73999835968017,74.74999855041504,62.981384610468815,62.30118656064024,16249.322731256485,102.48578929901123,16503.225025177002,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/probcover_5_50b
CIFAR10,resnet18,probcover,mean_std,aggregate_n=5,complete,101,74.5280 ± 1.0796,73.8360 ± 0.9121,63.1091 ± 0.4073,62.3521 ± 0.1680,15734.025581455231,96.41392502784728,15976.015543460846,
