dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,coreset,1,coreset_1_50b,complete,101,28.459999237060543,29.119999618530272,18.863168152913012,19.22425725615851,15487.668286323547,762.6374118328094,16395.744918346405,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/coreset_1_50b
CIFAR100,resnet18,coreset,2,coreset_2_50b,complete,101,28.039999389648443,27.679999122619634,19.251683011952018,18.819306767907474,15652.052986383438,776.8594567775726,16575.74859571457,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/coreset_2_50b
CIFAR100,resnet18,coreset,3,coreset_3_50b,complete,101,27.539999618530274,26.84999938964843,17.561782075485382,17.453663259071877,15660.145822048187,766.275217294693,16575.06108188629,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/coreset_3_50b
CIFAR100,resnet18,coreset,4,coreset_4_50b,complete,101,28.61999923706054,27.989999504089354,19.329504783554828,19.232574073111653,15847.758766889572,797.9408140182495,16795.977145671844,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/coreset_4_50b
CIFAR100,resnet18,coreset,5,coreset_5_50b,complete,101,29.17999954223633,28.959999237060543,20.634653263658578,19.957128502118707,15842.35291838646,805.7514617443085,16797.89685034752,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/coreset_5_50b
CIFAR100,resnet18,coreset,mean_std,aggregate_n=5,complete,101,28.3680 ± 0.6173,28.1200 ± 0.9393,19.1282 ± 1.1010,18.9374 ± 0.9253,15697.995756006241,781.8928723335266,16628.085718393326,
