dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,-1,50,,,,,,1.2743704319000244,1.2743704319000244,True
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,0,100,4.3799999999999955,44.0,4.030000000000001,72.94569277763367,1.4646210670471191,1.204970121383667,75.61528396606445,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,1,150,6.019999999999996,158.0,6.060000000000002,73.19404077529907,1.5422351360321045,1.1219844818115234,75.8582603931427,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,2,200,7.439999999999998,84.0,7.420000000000002,74.09990882873535,1.4295408725738525,1.2195584774017334,76.74900817871094,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,3,250,7.739999999999995,200.0,7.659999999999997,77.09511590003967,1.4754624366760254,1.2586169242858887,79.82919526100159,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,4,300,8.299999999999997,134.0,7.989999999999995,78.25447607040405,1.5118658542633057,1.1497728824615479,80.9161148071289,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,5,350,8.459999999999994,200.0,8.510000000000005,83.39185833930969,1.3926730155944824,1.1511917114257812,85.93572306632996,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,6,400,8.780000000000001,132.0,8.519999999999996,82.96676564216614,1.4611835479736328,1.211212396621704,85.63916158676147,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,7,450,8.799999999999997,140.0,8.670000000000002,87.25039386749268,1.5324246883392334,1.2382700443267822,90.02108860015869,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,8,500,8.819999999999993,46.0,8.810000000000002,87.70863389968872,1.532486915588379,1.2582592964172363,90.49938011169434,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,9,550,8.980000000000004,78.0,9.129999999999995,91.81819868087769,1.5783143043518066,1.2956891059875488,94.69220209121704,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,10,600,9.299999999999997,10.0,9.200000000000003,92.04290771484375,1.4871087074279785,1.2741100788116455,94.80412650108337,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,11,650,9.560000000000002,136.0,9.799999999999997,96.11276745796204,1.5171067714691162,1.257030963897705,98.88690519332886,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,12,700,9.900000000000006,186.0,10.329999999999998,95.62996697425842,1.5217957496643066,1.2394249439239502,98.39118766784668,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,13,750,9.719999999999999,200.0,10.439999999999998,99.45329284667969,1.6465630531311035,1.1569268703460693,102.25678277015686,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,14,800,10.019999999999996,118.0,10.680000000000007,99.58291339874268,1.554351568222046,1.2788023948669434,102.41606736183167,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,15,850,10.400000000000006,68.0,11.230000000000004,103.0508770942688,1.518406629562378,1.2950942516326904,105.86437797546387,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,16,900,10.739999999999995,144.0,11.450000000000003,104.36071300506592,1.500887155532837,1.1757094860076904,107.03730964660645,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,17,950,10.780000000000001,148.0,11.269999999999996,108.77688193321228,1.5434629917144775,2.0541203022003174,112.37446522712708,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,18,1000,11.120000000000005,158.0,11.75,108.81268858909607,1.4880571365356445,1.182602882385254,111.48334860801697,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,19,1050,11.420000000000002,84.0,11.870000000000005,113.45094108581543,1.6478908061981201,1.1857128143310547,116.2845447063446,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,20,1100,11.5,120.0,12.11,113.24688768386841,1.5220801830291748,1.3223910331726074,116.09135890007019,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,21,1150,11.599999999999994,158.0,12.349999999999994,117.6533305644989,1.566789150238037,1.1831331253051758,120.40325284004211,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,22,1200,12.260000000000005,122.0,12.659999999999997,117.84511232376099,1.6121947765350342,1.325993537902832,120.78330063819885,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,23,1250,12.659999999999997,130.0,13.189999999999998,122.13844108581543,1.573871374130249,1.1810176372528076,124.89333009719849,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,24,1300,12.980000000000004,86.0,13.629999999999995,122.17032861709595,1.6504414081573486,1.1884222030639648,125.00919222831726,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,25,1350,13.439999999999998,178.0,13.900000000000006,124.7536973953247,1.4984130859375,1.2051000595092773,127.45721054077148,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,26,1400,13.780000000000001,182.0,14.269999999999996,125.96619987487793,1.5336782932281494,1.2132418155670166,128.7131199836731,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,27,1450,13.939999999999998,190.0,14.430000000000007,129.62939834594727,1.5263938903808594,1.3560059070587158,132.51179814338684,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,28,1500,13.980000000000004,90.0,14.739999999999995,130.46426439285278,1.5343687534332275,1.3159213066101074,133.31455445289612,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,29,1550,14.760000000000005,160.0,14.819999999999993,133.99896359443665,1.5246284008026123,1.3223323822021484,136.8459243774414,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,30,1600,14.780000000000001,190.0,15.060000000000002,133.56666207313538,1.7270288467407227,1.2151305675506592,136.50882148742676,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,31,1650,15.019999999999996,110.0,15.280000000000001,138.09867238998413,1.5326664447784424,1.3263814449310303,140.9577202796936,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,32,1700,15.260000000000005,176.0,15.569999999999993,138.65971279144287,1.548461675643921,1.3350379467010498,141.54321241378784,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,33,1750,15.420000000000002,154.0,15.579999999999998,141.1321575641632,1.5249660015106201,1.3004448413848877,143.95756840705872,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,34,1800,15.819999999999993,178.0,16.11,141.342791557312,1.4871711730957031,1.208160161972046,144.03812289237976,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,35,1850,16.22,126.0,16.450000000000003,147.28230142593384,1.5392053127288818,1.346040964126587,150.1675477027893,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,36,1900,16.72,184.0,16.510000000000005,144.46908330917358,1.505157709121704,1.3374574184417725,147.31169843673706,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,37,1950,17.040000000000006,158.0,16.930000000000007,150.07712817192078,1.5216617584228516,1.212186336517334,152.81097626686096,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,38,2000,17.439999999999998,146.0,16.980000000000004,150.17951369285583,1.501737117767334,1.2014858722686768,152.88273668289185,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,39,2050,17.599999999999994,160.0,17.58999992370606,154.30727362632751,1.4789443016052246,1.3201079368591309,157.10632586479187,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,40,2100,17.72,188.0,17.650000000000006,154.52822494506836,1.4987244606018066,1.196483850479126,157.2234332561493,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,41,2150,17.58,184.0,18.019999999999996,158.8941147327423,1.56331467628479,1.3360118865966797,161.79344129562378,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,42,2200,17.92,190.0,17.989999999999995,157.1310646533966,1.6059010028839111,1.2917594909667969,160.02872514724731,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,43,2250,18.64,164.0,18.189999999999998,162.6740026473999,1.5794498920440674,1.193164587020874,165.44661712646484,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,44,2300,18.519999999999996,190.0,18.290000000000006,162.03849625587463,1.5683157444000244,1.333683729171753,164.9404957294464,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,45,2350,18.28,104.0,18.849999999999994,166.9928207397461,1.6547727584838867,1.1849784851074219,169.8325719833374,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,46,2400,18.700000000000003,148.0,19.11999992370606,166.34703183174133,1.4967730045318604,1.2947373390197754,169.13854217529297,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,47,2450,18.799999999999997,116.0,19.22,169.86635398864746,1.5429332256317139,1.1974971294403076,172.60678434371948,False
CIFAR100,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,48,2500,19.340000000000003,98.0,19.75,170.24299311637878,1.5174133777618408,1.340399980545044,173.10080647468567,False
