dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,entropy,1,entropy_1_50b,complete,101,27.659999389648434,27.699999313354496,17.941584036043377,17.66316820465692,17363.442955732346,680.6531584262848,18198.359973192215,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/entropy_1_50b
CIFAR100,resnet18,entropy,2,entropy_2_50b,complete,101,27.11999954223633,27.329999694824224,16.776633567432366,16.868712775353156,17362.14574766159,687.2310020923615,18205.387465000153,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/entropy_2_50b
CIFAR100,resnet18,entropy,3,entropy_3_50b,complete,101,27.33999938964844,27.30999950408936,16.62990089038811,16.962277127634184,17213.149946451187,683.6177530288696,18051.39242053032,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/entropy_3_50b
CIFAR100,resnet18,entropy,4,entropy_4_50b,complete,101,28.199999694824214,27.46999946594238,18.384356309494173,18.004653329377128,17366.704043865204,702.746876001358,18225.683688163757,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/entropy_4_50b
CIFAR100,resnet18,entropy,5,entropy_5_50b,complete,101,29.139999084472663,28.11999950408935,18.358019658456932,17.657029591550923,17452.405010938644,699.6941540241241,18309.648150920868,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/entropy_5_50b
CIFAR100,resnet18,entropy,mean_std,aggregate_n=5,complete,101,27.8920 ± 0.8073,27.5860 ± 0.3366,17.6181 ± 0.8550,17.4312 ± 0.4924,17351.569540929795,690.7885887145997,18198.094339561463,
