dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,margin,1,margin_1_50b,complete,101,27.199999542236327,27.039999313354485,18.258415707125522,18.44019787816718,16112.052261352539,648.4232363700867,16907.941200733185,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/margin_1_50b
CIFAR100,resnet18,margin,2,margin_2_50b,complete,101,27.35999946594238,27.189999237060547,18.854257286751626,19.160098835029228,16263.558595180511,648.6351864337921,17059.93462371826,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/margin_2_50b
CIFAR100,resnet18,margin,3,margin_3_50b,complete,101,27.459999542236332,27.279999389648438,18.48574242469108,18.301683029325883,16353.645227193832,655.0310845375061,17159.10652947426,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/margin_3_50b
CIFAR100,resnet18,margin,4,margin_4_50b,complete,101,28.459999008178713,28.899999465942386,18.998811724067913,18.759405782340778,17108.2437415123,676.3836545944214,17940.860520601273,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/margin_4_50b
CIFAR100,resnet18,margin,5,margin_5_50b,complete,101,28.97999961853027,27.539999122619633,19.57049488256473,18.62039590438994,17338.561769247055,684.1056547164917,18181.708571195602,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/margin_5_50b
CIFAR100,resnet18,margin,mean_std,aggregate_n=5,complete,101,27.8920 ± 0.7834,27.5900 ± 0.7545,18.8335 ± 0.5056,18.6564 ± 0.3310,16635.212318897247,662.5157633304595,17449.910289144515,
