dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR10,resnet18,coreset,1,coreset_1_50b,complete,101,73.39999759674072,72.4799981880188,59.30356288626642,58.5953451245374,17370.12309074402,738.5682985782623,18260.530522108078,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/coreset_1_50b
CIFAR10,resnet18,coreset,2,coreset_2_50b,complete,101,75.0199981689453,72.11999784469604,59.11366198322561,57.74544412669569,17462.082556009293,750.3087401390076,18365.258089780807,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/coreset_2_50b
CIFAR10,resnet18,coreset,3,coreset_3_50b,complete,101,72.51999813079834,72.35999801635742,58.485741181326375,58.10494911968117,17188.83424639702,728.9732336997986,18068.31539416313,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/coreset_3_50b
CIFAR10,resnet18,coreset,4,coreset_4_50b,complete,101,74.37999839782715,73.43999839782715,59.00712728896943,58.42574117188407,17270.4111392498,746.2317318916321,18168.240509033203,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/coreset_4_50b
CIFAR10,resnet18,coreset,5,coreset_5_50b,complete,101,73.85999828338623,72.81999808311463,59.12970152921016,58.28445402475868,17448.58116865158,747.5229849815369,18349.204964399338,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/coreset_5_50b
CIFAR10,resnet18,coreset,mean_std,aggregate_n=5,complete,101,73.8360 ± 0.9514,72.6440 ± 0.5115,59.0080 ± 0.3107,58.2312 ± 0.3260,17348.00644021034,742.3209978580475,18242.309895896913,
