dataset,model,method,n_seeds,final_test_accuracy_mean,final_test_accuracy_std,final_val_accuracy_mean,final_val_accuracy_std
CIFAR100,resnet18,probcover,5,34.95799898529053,0.8013239833817438,35.66399917602539,1.2219165891784622
CIFAR100,resnet18,knn_distance_cover,5,29.87799922180176,0.21135263249990255,30.22799961853027,0.9287194553861686
CIFAR100,resnet18,density_cover,5,29.81799917602539,0.44801762421041424,30.091999389648436,0.6200968853714438
CIFAR100,resnet18,idprobcover,5,29.6099994430542,0.9722911815480011,29.931999252319336,1.2399676268874693
CIFAR100,resnet18,maxherding,5,28.957999504089354,0.5367679958445185,29.211999343872073,0.6136120718991155
CIFAR100,resnet18,random,5,28.685999160766603,0.35401948360135854,28.731999313354493,0.4999199020316221
CIFAR100,resnet18,coreset,5,28.119999374389646,0.939281694520724,28.367999404907227,0.6173491240364042
CIFAR100,resnet18,margin,5,27.589999305725097,0.7545197864514152,27.891999435424804,0.7834027764348248
CIFAR100,resnet18,entropy,5,27.585999496459966,0.3366451647158928,27.89199942016602,0.8072916435022174
CIFAR100,resnet18,dbal,5,27.561999298095703,0.4367721366666398,28.11999931335449,1.1197319643272665
CIFAR100,resnet18,uncertainty,5,27.489999397277835,0.6041521967065843,27.48799937438965,0.5480144016295798
CIFAR100,resnet18,distance_variance_cover,5,25.437999710083012,0.28314315434541165,26.647999450683596,0.7844232881675333
CIFAR100,resnet18,distance_cv_cover,5,24.793999725341795,0.4502554488035286,24.703999603271484,0.7183869214998045
