dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,maxherding,1,maxherding_1_50b,complete,101,28.739999389648432,28.749999351501458,20.477623509322065,20.682078960154318,22483.031262636185,5698.594772577286,28394.356435775757,/vast/s219110279/TypiClust/output/CIFAR100/resnet18/maxherding_1_50b
CIFAR100,resnet18,maxherding,2,maxherding_2_50b,complete,101,29.11999923706054,29.46999946594238,20.627920574528158,20.48356410602532,24041.657304286957,6474.9783391952515,30738.786425352097,/vast/s219110279/TypiClust/output/CIFAR100/resnet18/maxherding_2_50b
CIFAR100,resnet18,maxherding,3,maxherding_3_50b,complete,101,28.51999969482422,29.329999427795414,19.526138430302684,19.63188098756394,24342.152591705322,6456.572028875351,31025.15088534355,/vast/s219110279/TypiClust/output/CIFAR100/resnet18/maxherding_3_50b
CIFAR100,resnet18,maxherding,4,maxherding_4_50b,complete,101,29.899999084472654,28.129999771118165,20.18297005455093,19.381682996844305,24326.297870635986,6452.3849840164185,31005.026036262512,/vast/s219110279/TypiClust/output/CIFAR100/resnet18/maxherding_4_50b
CIFAR100,resnet18,maxherding,5,maxherding_5_50b,complete,101,29.779999313354494,29.10999950408936,19.752079025117478,19.711484973265392,26038.491196870804,6445.16721534729,32719.045152664185,/vast/s219110279/TypiClust/output/CIFAR100/resnet18/maxherding_5_50b
CIFAR100,resnet18,maxherding,mean_std,aggregate_n=5,complete,101,29.2120 ± 0.6136,28.9580 ± 0.5368,20.1133 ± 0.4684,19.9781 ± 0.5696,24246.32604522705,6305.539468002319,30776.47298707962,
