dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR10,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,101,70.25999816894532,68.9499981880188,59.104553029655236,57.582671900078815,16345.858187913895,135.52194499969482,16626.56547164917,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_variance_cover_1_50b
CIFAR10,resnet18,distance_variance_cover,2,distance_variance_cover_2_50b,complete,101,70.23999828338623,69.13999824523925,57.898414460172745,56.612374890204705,16316.491163730621,149.36157727241516,16610.414758205414,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_variance_cover_2_50b
CIFAR10,resnet18,distance_variance_cover,3,distance_variance_cover_3_50b,complete,101,69.15999851226806,68.73999797821045,58.17683028287226,57.46504812995987,16564.943922042847,198.9887113571167,16911.139948368073,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_variance_cover_3_50b
CIFAR10,resnet18,distance_variance_cover,4,distance_variance_cover_4_50b,complete,101,71.83999809265137,69.69999803543091,58.38395903068014,57.0304937200263,17087.17452955246,195.07203578948975,17431.77249455452,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_variance_cover_4_50b
CIFAR10,resnet18,distance_variance_cover,5,distance_variance_cover_5_50b,complete,101,69.45999797821045,68.5799984741211,58.443760972353495,57.32168177972924,17353.21746492386,216.26531600952148,17720.26371693611,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_variance_cover_5_50b
CIFAR10,resnet18,distance_variance_cover,mean_std,aggregate_n=5,complete,101,70.1920 ± 1.0397,69.0220 ± 0.4341,58.4015 ± 0.4472,57.2025 ± 0.3891,16733.537053632735,179.04191708564758,17060.031277942657,
