dataset,model,method,seed,exp_name,run_status,episode,labeled_count,best_val_accuracy,best_val_epoch,test_accuracy,train_time_sec,test_time_sec,acquisition_time_sec,round_time_sec,is_initial_sampling
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,0,100,2.319999999999993,184.0,1.9300000000000068,140.38380694389343,3.8631792068481445,35.8210175037384,180.06800365447998,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,1,150,2.519999999999996,118.0,2.0900000000000034,141.71128392219543,2.7928314208984375,38.1909875869751,182.69510293006897,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,2,200,2.519999999999996,184.0,1.8900000000000006,142.3538694381714,2.775989532470703,34.84148335456848,179.97134232521057,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,3,250,2.9399999999999977,86.0,2.3299999999999983,149.51346945762634,2.8695051670074463,35.20743250846863,187.59040713310242,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,4,300,2.799999999999997,106.0,2.5799999999999983,150.25252866744995,2.828425884246826,35.22617220878601,188.3071267604828,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,5,350,3.1200000000000045,88.0,2.4200000000000017,156.93539786338806,2.793468952178955,34.55630445480347,194.28517127037048,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,6,400,3.3799999999999955,106.0,3.3299999999999983,156.8909206390381,2.8270466327667236,34.54001069068909,194.2579779624939,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,7,450,3.5400000000000063,84.0,3.3100000000000023,162.95909070968628,2.8356986045837402,34.37161898612976,200.16640830039978,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,8,500,3.9000000000000057,190.0,3.5400000000000063,163.63386631011963,2.9442532062530518,34.44943594932556,201.02755546569824,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,9,550,4.079999999999998,146.0,3.780000000000001,169.7595841884613,2.7805016040802,34.42716193199158,206.96724772453308,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,10,600,4.640000000000001,200.0,4.040000000000006,170.0502734184265,2.758354425430298,34.40606236457825,207.21469020843506,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,11,650,4.640000000000001,44.0,3.8400000000000034,176.3214135169983,2.7816858291625977,39.674182176589966,218.77728152275085,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,12,700,4.6200000000000045,40.0,3.980000000000004,176.4003291130066,2.800067901611328,34.35100317001343,213.55140018463135,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,13,750,4.8799999999999955,80.0,4.109999999999999,187.17954778671265,3.589672088623047,82.72993731498718,273.4991571903229,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,14,800,5.260000000000005,102.0,4.530000000000001,183.8086748123169,2.8048806190490723,37.169087171554565,223.78264260292053,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,15,850,5.180000000000007,168.0,4.200000000000003,188.1502091884613,2.906421661376953,34.85470724105835,225.9113380908966,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,16,900,4.980000000000004,26.0,4.6299999999999955,188.94822454452515,2.7895426750183105,35.127509355545044,226.8652765750885,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,17,950,5.560000000000002,96.0,4.989999999999995,195.49967670440674,2.782825469970703,34.64456033706665,232.9270625114441,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,18,1000,5.579999999999998,198.0,5.189999999999998,195.46556401252747,2.7745466232299805,35.218897581100464,233.4590082168579,False
TINYIMAGENET,resnet18,coreset,1,coreset_1_50b,complete,19,1050,5.6200000000000045,88.0,5.090000000000003,202.01390552520752,2.8229241371154785,35.02493691444397,239.86176657676697,False
