dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
TINYIMAGENET,resnet18,uncertainty,1,uncertainty_1_50b,complete,101,8.659999999999997,7.540000000000006,6.316039603960396,5.387920792079209,30836.674651622772,3016.4773762226105,34188.32373690605,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/uncertainty_1_50b
TINYIMAGENET,resnet18,uncertainty,2,uncertainty_2_50b,complete,101,8.680000000000007,8.120000000000005,6.140396039603961,5.484554455445545,30192.127254009247,2983.4112594127655,33500.49569296837,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/uncertainty_2_50b
TINYIMAGENET,resnet18,uncertainty,3,uncertainty_3_50b,complete,101,8.599999999999994,7.420000000000002,6.199603960396041,5.255940594059406,30513.483261346817,2960.4386868476868,33796.434571266174,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/uncertainty_3_50b
TINYIMAGENET,resnet18,uncertainty,4,uncertainty_4_50b,complete,101,8.159999999999997,7.810000000000002,5.947524752475247,5.206237623762376,31297.617037296295,3057.9675467014313,34680.748220682144,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/uncertainty_4_50b
TINYIMAGENET,resnet18,uncertainty,5,uncertainty_5_50b,complete,101,9.14,7.829999999999998,6.5417821782178205,5.4923762376237635,35951.90935468674,3019.2377212047577,39294.004807949066,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/uncertainty_5_50b
TINYIMAGENET,resnet18,uncertainty,mean_std,aggregate_n=5,complete,101,8.6480 ± 0.3477,7.7440 ± 0.2737,6.2291 ± 0.2199,5.3654 ± 0.1305,31758.362311792374,3007.50651807785,35092.00140595436,
