dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,101,26.95999969482422,25.359999694824225,22.5762373336943,21.411484935118416,14910.424142122269,133.40105032920837,15181.818042755127,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/distance_variance_cover_1_50b
CIFAR100,resnet18,distance_variance_cover,2,distance_variance_cover_2_50b,complete,101,25.859999542236324,25.019999618530278,21.843960161870076,20.918613672162046,15284.26840543747,134.44524884223938,15560.166937828064,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/distance_variance_cover_2_50b
CIFAR100,resnet18,distance_variance_cover,3,distance_variance_cover_3_50b,complete,101,26.239999389648432,25.40999961853028,22.121583906117053,21.351979974047975,15981.897915840149,192.24375581741333,16323.857514619827,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/distance_variance_cover_3_50b
CIFAR100,resnet18,distance_variance_cover,4,distance_variance_cover_4_50b,complete,101,26.319999389648444,25.72999977111816,22.16910864877228,20.701286968948818,15975.39832353592,181.5972707271576,16308.111610651016,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/distance_variance_cover_4_50b
CIFAR100,resnet18,distance_variance_cover,5,distance_variance_cover_5_50b,complete,101,27.85999923706055,25.669999847412114,22.98316796028968,21.653960155071605,15944.808312177658,194.348717212677,16288.787026166916,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/distance_variance_cover_5_50b
CIFAR100,resnet18,distance_variance_cover,mean_std,aggregate_n=5,complete,101,26.6480 ± 0.7844,25.4380 ± 0.2831,22.3388 ± 0.4451,21.2075 ± 0.3878,15619.359419822693,167.20720858573912,15932.54822640419,
