dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
TINYIMAGENET,resnet18,density_cover,1,density_cover_1_50b,complete,101,12.86,12.25,8.595445544554456,7.6183168316831695,32786.11022233963,320.40551805496216,33416.36721038818,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/density_cover_1_50b
TINYIMAGENET,resnet18,density_cover,2,density_cover_2_50b,complete,101,12.86,11.730000000000004,8.63920792079208,7.656138613861387,31922.399247169495,300.2634115219116,32534.397815942764,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/density_cover_2_50b
TINYIMAGENET,resnet18,density_cover,3,density_cover_3_50b,complete,101,12.959999999999994,12.319999999999993,8.52019801980198,7.664851485148514,28757.66909313202,254.540185213089,29301.914214372635,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/density_cover_3_50b
TINYIMAGENET,resnet18,density_cover,4,density_cover_4_50b,complete,101,12.099999999999994,11.629999999999995,7.960198019801979,7.604059405940594,28337.09515929222,261.48071908950806,28894.82971215248,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/density_cover_4_50b
TINYIMAGENET,resnet18,density_cover,5,density_cover_5_50b,complete,101,12.299999999999997,11.650000000000006,8.341782178217821,7.599306930693068,28593.3466899395,259.1706471443176,29147.079028367996,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/density_cover_5_50b
TINYIMAGENET,resnet18,density_cover,mean_std,aggregate_n=5,complete,101,12.6160 ± 0.3884,11.9160 ± 0.3398,8.4114 ± 0.2766,7.6285 ± 0.0302,30079.324082374573,279.1720962047577,30658.917596244813,
