dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,101,30.079999389648435,29.58999950408935,20.632078998678985,20.749306702188925,16300.144874334335,10967.072659254074,27417.273682117462,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/LIDCOVER_1_50b
CIFAR100,resnet18,idprobcover,2,LIDCOVER_2_50b,complete,101,29.81999862670898,29.629999389648432,20.847722513935356,20.409900766504872,15758.449691057205,10984.670063972473,26891.979938030243,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/LIDCOVER_2_50b
CIFAR100,resnet18,idprobcover,3,LIDCOVER_3_50b,complete,101,29.159999771118166,29.41999935150146,20.851286903607964,20.875940352713705,15670.030488491058,10996.69460272789,26815.64850139618,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/LIDCOVER_3_50b
CIFAR100,resnet18,idprobcover,4,LIDCOVER_4_50b,complete,101,28.679999313354486,28.33999938964844,20.424554228074477,19.99138596298671,15574.360844612122,11020.085384368896,26741.886255264282,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/LIDCOVER_4_50b
CIFAR100,resnet18,idprobcover,5,LIDCOVER_5_50b,complete,101,31.919999160766608,31.069999580383296,21.634653183587705,21.247821489088608,15614.06110548973,11054.17981338501,26818.10844373703,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/LIDCOVER_5_50b
CIFAR100,resnet18,idprobcover,mean_std,aggregate_n=5,complete,101,29.9320 ± 1.2400,29.6100 ± 0.9723,20.8781 ± 0.4583,20.6549 ± 0.4769,15783.40940079689,11004.540504741668,26936.97936410904,
