dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
TINYIMAGENET,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,101,18.400000000000006,17.81999992370605,14.023564353414104,13.374851483637745,34293.18481683731,633.2167932987213,35263.15231823921,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/LIDCOVER_1_50b
TINYIMAGENET,resnet18,idprobcover,2,LIDCOVER_2_50b,complete,101,18.799999999999997,17.92,14.583168315320911,13.452376236112991,35982.433535814285,707.4478418827057,37039.58658194542,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/LIDCOVER_2_50b
TINYIMAGENET,resnet18,idprobcover,3,LIDCOVER_3_50b,complete,101,19.36,17.459999999999994,14.476039600938854,13.315247523241705,35659.669729709625,746.252935886383,36757.73752164841,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/LIDCOVER_3_50b
TINYIMAGENET,resnet18,idprobcover,4,LIDCOVER_4_50b,complete,101,18.58,18.209999999999994,14.107920786036118,13.333960394528837,35909.82417011261,610.7343547344208,36862.948223114014,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/LIDCOVER_4_50b
TINYIMAGENET,resnet18,idprobcover,5,LIDCOVER_5_50b,complete,101,19.5,18.209999999999994,14.597821777645905,13.447227721261509,33656.82620000839,478.21771454811096,34504.53980922699,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/LIDCOVER_5_50b
TINYIMAGENET,resnet18,idprobcover,mean_std,aggregate_n=5,complete,101,18.9280 ± 0.4822,17.9240 ± 0.3121,14.3577 ± 0.2723,13.3847 ± 0.0632,35100.38769049644,635.1739280700683,36085.59289083481,
