dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR10,resnet18,knn_distance_cover,1,knn_distance_cover_1_50b,complete,101,63.7399983215332,62.86999870300293,54.60138494170539,53.44613740732173,17282.102690458298,163.56369376182556,17596.160601377487,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/knn_distance_cover_1_50b
CIFAR10,resnet18,knn_distance_cover,2,knn_distance_cover_2_50b,complete,101,63.75999855041504,62.61999856948852,54.27445423239527,53.380394869889365,17279.779282808304,148.3237383365631,17578.67803645134,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/knn_distance_cover_2_50b
CIFAR10,resnet18,knn_distance_cover,3,knn_distance_cover_3_50b,complete,101,62.319998550415036,62.629998455047605,53.410691890905404,53.44425625262873,17246.428272247314,175.82674264907837,17573.559823036194,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/knn_distance_cover_3_50b
CIFAR10,resnet18,knn_distance_cover,4,knn_distance_cover_4_50b,complete,101,62.89999824523926,61.73999862670898,53.476038457285064,52.88316715202709,17046.09457874298,181.21185684204102,17377.71392416954,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/knn_distance_cover_4_50b
CIFAR10,resnet18,knn_distance_cover,5,knn_distance_cover_5_50b,complete,101,63.27999858856201,62.089998435974124,53.98772158632185,53.47762259492778,16895.990114927292,171.46072578430176,17216.689559698105,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/knn_distance_cover_5_50b
CIFAR10,resnet18,knn_distance_cover,mean_std,aggregate_n=5,complete,101,63.2000 ± 0.6075,62.3900 ± 0.4619,53.9501 ± 0.5115,53.3263 ± 0.2502,17150.078987836838,168.07735147476197,17468.560388946535,
