dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR10,resnet18,maxherding,1,maxherding_1_50b,complete,101,73.21999809265137,72.73999828338623,55.65207790865757,54.708315499182966,11453.777176856995,2428.1366736888885,13986.023542404175,/vast/s219110279/TypiClust/output/CIFAR10/resnet18/maxherding_1_50b
CIFAR10,resnet18,maxherding,2,maxherding_2_50b,complete,101,73.39999897003173,72.59999799728394,55.940790776923144,54.997721429957025,11398.427973747253,2374.345496416092,13876.300193786621,/vast/s219110279/TypiClust/output/CIFAR10/resnet18/maxherding_2_50b
CIFAR10,resnet18,maxherding,3,maxherding_3_50b,complete,101,72.53999794006347,72.80999849319458,56.000790741797715,55.52930558384055,17196.53379011154,2604.9927332401276,19974.338014125824,/vast/s219110279/TypiClust/output/CIFAR10/resnet18/maxherding_3_50b
CIFAR10,resnet18,maxherding,4,maxherding_4_50b,complete,101,74.73999824523926,73.11999805450439,55.21603830413063,54.23405808949235,17035.946027755737,2822.176971435547,20034.664211034775,/vast/s219110279/TypiClust/output/CIFAR10/resnet18/maxherding_4_50b
CIFAR10,resnet18,maxherding,5,maxherding_5_50b,complete,101,71.61999824523926,70.71999797821044,55.255642263204734,54.40534520290866,17132.930386304855,2726.2422828674316,20033.98640847206,/vast/s219110279/TypiClust/output/CIFAR10/resnet18/maxherding_5_50b
CIFAR10,resnet18,maxherding,mean_std,aggregate_n=5,complete,101,73.1040 ± 1.1509,72.3980 ± 0.9571,55.6131 ± 0.3690,54.7749 ± 0.5129,14843.523070955276,2591.178831529617,17581.062473964692,
