dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR10,resnet18,idprobcover,1,LIDCOVER_1_50b,complete,101,73.27999820709229,72.57999799728394,61.99881034945496,60.75277078892925,17416.63014936447,238.07374691963196,17809.006754875183,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/LIDCOVER_1_50b
CIFAR10,resnet18,idprobcover,2,LIDCOVER_2_50b,complete,101,73.01999809265136,71.41999826431274,62.18950344614463,61.136929170400784,17374.17414498329,239.12844705581665,17767.965564250946,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/LIDCOVER_2_50b
CIFAR10,resnet18,idprobcover,3,LIDCOVER_3_50b,complete,101,73.5599979019165,72.59999801635742,61.57069157496537,61.009602449247154,17455.477334022522,241.72212314605713,17854.511932849884,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/LIDCOVER_3_50b
CIFAR10,resnet18,idprobcover,4,LIDCOVER_4_50b,complete,101,73.29999801635742,71.86999801635741,61.5368301795733,60.56217674123178,17452.744082212448,281.0458116531372,17889.156492471695,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/LIDCOVER_4_50b
CIFAR10,resnet18,idprobcover,5,LIDCOVER_5_50b,complete,101,73.67999816894532,72.61999814987183,61.69999848734035,60.898612376109206,17513.513420820236,271.1285026073456,17940.093460083008,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/LIDCOVER_5_50b
CIFAR10,resnet18,idprobcover,mean_std,aggregate_n=5,complete,101,73.3680 ± 0.2587,72.2180 ± 0.5469,61.7992 ± 0.2842,60.8720 ± 0.2236,17442.507826280595,254.2197262763977,17852.14684090614,
