dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
TINYIMAGENET,resnet18,random,1,random_1_50b,complete,101,11.180000000000007,10.290000000000006,7.70772277227723,7.213168316831681,33696.50253200531,2.0499660968780518,34028.8930785656,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/random_1_50b
TINYIMAGENET,resnet18,random,2,random_2_50b,complete,101,11.799999999999997,9.450000000000003,7.93128712871287,6.863960396039604,32553.195395708084,1.7580039501190186,32890.9168484211,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/random_2_50b
TINYIMAGENET,resnet18,random,3,random_3_50b,complete,101,11.420000000000002,10.079999999999998,7.76118811881188,6.784257425742576,32200.695078372955,1.7633886337280273,32527.935087919235,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/random_3_50b
TINYIMAGENET,resnet18,random,4,random_4_50b,complete,101,10.939999999999998,10.709999999999994,7.533861386138614,6.916237623762376,33512.63073301315,2.094783067703247,33841.68897151947,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/random_4_50b
TINYIMAGENET,resnet18,random,5,random_5_50b,complete,101,11.280000000000001,10.040000000000006,7.746930693069305,6.961485148514851,32556.58421421051,2.1478872299194336,32901.154381513596,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/random_5_50b
TINYIMAGENET,resnet18,random,mean_std,aggregate_n=5,complete,101,11.3240 ± 0.3186,10.1140 ± 0.4565,7.7362 ± 0.1419,6.9478 ± 0.1623,32903.921590662,1.9628057956695557,33238.117673587796,
