dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR10,resnet18,distance_cv_cover,1,distance_cv_cover_1_50b,complete,101,66.67999820709228,66.71999822616577,57.20851357035119,56.29128586778546,17382.716394901276,188.74387979507446,17723.687132120132,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_cv_cover_1_50b
CIFAR10,resnet18,distance_cv_cover,2,distance_cv_cover_2_50b,complete,101,65.07999862670898,64.91999847412109,56.79524627949932,55.82653342029836,17291.83003425598,164.69355010986328,17607.959971666336,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_cv_cover_2_50b
CIFAR10,resnet18,distance_cv_cover,3,distance_cv_cover_3_50b,complete,101,67.97999828338624,67.18999811172486,56.811285768641106,56.31257299347679,17349.25306892395,180.9465184211731,17682.869832992554,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_cv_cover_3_50b
CIFAR10,resnet18,distance_cv_cover,4,distance_cv_cover_4_50b,complete,101,66.55999851226807,64.88999849319458,56.28593936278089,55.33742450034265,17276.204407930374,194.9455533027649,17623.65493941307,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_cv_cover_4_50b
CIFAR10,resnet18,distance_cv_cover,5,distance_cv_cover_5_50b,complete,101,66.65999881744385,66.70999830245972,56.629899687058845,55.95197896183128,17083.890778303146,201.49009466171265,17435.3497672081,/weka/s219110279/TypiClust/output/CIFAR10/resnet18/distance_cv_cover_5_50b
CIFAR10,resnet18,distance_cv_cover,mean_std,aggregate_n=5,complete,101,66.5920 ± 1.0279,66.0860 ± 1.0955,56.7462 ± 0.3338,55.9440 ± 0.3995,17276.778936862946,186.1639192581177,17614.70432868004,
