dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
TINYIMAGENET,resnet18,distance_variance_cover,1,distance_variance_cover_1_50b,complete,101,12.620000000000005,11.780000000000001,11.278811881188123,10.401485148514851,35376.088525533676,430.97903990745544,36129.86164712906,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/distance_variance_cover_1_50b
TINYIMAGENET,resnet18,distance_variance_cover,2,distance_variance_cover_2_50b,complete,101,12.900000000000006,11.829999999999998,11.012673267326734,10.213069306930695,35851.1270506382,666.831770658493,36838.32374358177,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/distance_variance_cover_2_50b
TINYIMAGENET,resnet18,distance_variance_cover,3,distance_variance_cover_3_50b,complete,101,12.760000000000005,11.650000000000006,11.398811881188118,10.195247524752473,36047.38158202171,409.4559950828552,36781.58587574959,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/distance_variance_cover_3_50b
TINYIMAGENET,resnet18,distance_variance_cover,4,distance_variance_cover_4_50b,complete,101,13.099999999999994,11.930000000000007,11.385742574257426,10.418019801980199,36059.67593383789,434.2421598434448,36816.49719953537,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/distance_variance_cover_4_50b
TINYIMAGENET,resnet18,distance_variance_cover,5,distance_variance_cover_5_50b,complete,101,12.700000000000003,12.189999999999998,10.99960396039604,10.214257425742575,37188.30203652382,532.2570924758911,38027.6321310997,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/distance_variance_cover_5_50b
TINYIMAGENET,resnet18,distance_variance_cover,mean_std,aggregate_n=5,complete,101,12.8160 ± 0.1889,11.8760 ± 0.2024,11.2151 ± 0.1964,10.2884 ± 0.1112,36104.51502571106,494.75321159362795,36918.7801194191,
