dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,dbal,1,dbal_1_50b,complete,101,27.079999542236322,26.99999923706055,17.75999988518139,17.693366193865785,16344.967642307281,2787.067022562027,19280.791446447372,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/dbal_1_50b
CIFAR100,resnet18,dbal,2,dbal_2_50b,complete,101,27.61999877929688,27.50999950408935,17.298613763941397,17.265841466318268,16403.227263450623,2774.840568780899,19327.146304368973,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/dbal_2_50b
CIFAR100,resnet18,dbal,3,dbal_3_50b,complete,101,28.53999954223633,28.049998931884772,17.364356312515714,17.29762363698223,16838.17067694664,3015.115016937256,20006.068210363388,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/dbal_3_50b
CIFAR100,resnet18,dbal,4,dbal_4_50b,complete,101,29.879999008178714,27.93999931335449,17.89643549324262,16.846435516281886,17057.30123448372,3260.0900971889496,20474.262368917465,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/dbal_4_50b
CIFAR100,resnet18,dbal,5,dbal_5_50b,complete,101,27.479999694824215,27.30999950408936,17.597227637413706,17.396237508566074,17092.110217809677,3239.59912443161,20487.676142454147,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/dbal_5_50b
CIFAR100,resnet18,dbal,mean_std,aggregate_n=5,complete,101,28.1200 ± 1.1197,27.5620 ± 0.4368,17.5833 ± 0.2542,17.2999 ± 0.3045,16747.155406999587,3015.3423659801483,19915.18889451027,
