dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
TINYIMAGENET,resnet18,margin,1,margin_1_50b,complete,101,10.5,9.670000000000002,7.103168316831684,6.345148514851484,32620.177735090256,3081.040015220642,36029.014966487885,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/margin_1_50b
TINYIMAGENET,resnet18,margin,2,margin_2_50b,complete,101,10.579999999999998,9.069999999999993,7.174257425742573,6.162475247524753,32630.346801280975,3105.0863349437714,36068.82045650482,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/margin_2_50b
TINYIMAGENET,resnet18,margin,3,margin_3_50b,complete,101,10.219999999999999,9.469999999999999,7.081980198019804,6.327821782178217,32403.257660388947,3090.8184628486633,35832.78777503967,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/margin_3_50b
TINYIMAGENET,resnet18,margin,4,margin_4_50b,complete,101,9.879999999999995,8.829999999999998,7.101980198019803,6.3238613861386135,32755.359620332718,3063.3329837322235,36155.94945025444,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/margin_4_50b
TINYIMAGENET,resnet18,margin,5,margin_5_50b,complete,101,9.939999999999998,9.099999999999994,7.087326732673267,6.214554455445547,35858.06731438637,3071.1660566329956,39242.93245983124,/weka/s219110279/TypiClust/output/TINYIMAGENET/resnet18/margin_5_50b
TINYIMAGENET,resnet18,margin,mean_std,aggregate_n=5,complete,101,10.2240 ± 0.3170,9.2280 ± 0.3368,7.1097 ± 0.0372,6.2748 ± 0.0813,33253.44182629585,3082.288770675659,36665.90102162361,
