dataset,model,method,seed,exp_name,run_status,num_rounds,final_val_accuracy,final_test_accuracy,val_auc,test_auc,cumulative_train_time_sec,cumulative_acquisition_time_sec,cumulative_round_time_sec,exp_dir
CIFAR100,resnet18,density_cover,1,density_cover_1_50b,complete,101,29.0999991607666,29.259999465942386,19.154257227831543,19.601880993607022,16217.216641664505,128.27523970603943,16492.863914489746,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/density_cover_1_50b
CIFAR100,resnet18,density_cover,2,density_cover_2_50b,complete,101,30.259999694824216,30.33999885559082,20.85445522497196,20.134752263739557,16354.211077451706,130.5577356815338,16633.023960351944,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/density_cover_2_50b
CIFAR100,resnet18,density_cover,3,density_cover_3_50b,complete,101,29.919999313354495,30.18999904632568,19.95425721498999,20.04554434823518,16466.360662698746,165.5621211528778,16781.98463845253,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/density_cover_3_50b
CIFAR100,resnet18,density_cover,4,density_cover_4_50b,complete,101,30.579999237060548,29.539999313354485,20.733069065962688,20.020791849193003,16915.108115673065,152.83027625083923,17222.02991104126,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/density_cover_4_50b
CIFAR100,resnet18,density_cover,5,density_cover_5_50b,complete,101,30.599999542236333,29.759999198913576,20.70237598154804,19.969702749346748,17165.194576740265,189.33679294586182,17510.40882587433,/weka/s219110279/TypiClust/output/CIFAR100/resnet18/density_cover_5_50b
CIFAR100,resnet18,density_cover,mean_std,aggregate_n=5,complete,101,30.0920 ± 0.6201,29.8180 ± 0.4480,20.2797 ± 0.7223,19.9545 ± 0.2060,16623.618214845657,153.31243314743043,16928.062250041963,
