kind	dataset	backbone	seed	delta_coarse	delta_fine	alpha	batch_budget	experiment	sbatch
main	cifar10	alexnet	1	0.70	0.50	0.70	50	MSTC_C070_F050_A070_1_50b	main_c10_alex_c070_f050_s1_b050.sbatch
main	cifar10	alexnet	2	0.70	0.50	0.70	50	MSTC_C070_F050_A070_2_50b	main_c10_alex_c070_f050_s2_b050.sbatch
main	cifar10	alexnet	3	0.70	0.50	0.70	50	MSTC_C070_F050_A070_3_50b	main_c10_alex_c070_f050_s3_b050.sbatch
main	cifar10	alexnet	4	0.70	0.50	0.70	50	MSTC_C070_F050_A070_4_50b	main_c10_alex_c070_f050_s4_b050.sbatch
main	cifar10	alexnet	5	0.70	0.50	0.70	50	MSTC_C070_F050_A070_5_50b	main_c10_alex_c070_f050_s5_b050.sbatch
main	cifar10	resnet18	1	0.70	0.50	0.70	50	MSTC_C070_F050_A070_1_50b	main_c10_r18_c070_f050_s1_b050.sbatch
main	cifar10	resnet18	2	0.70	0.50	0.70	50	MSTC_C070_F050_A070_2_50b	main_c10_r18_c070_f050_s2_b050.sbatch
main	cifar10	resnet18	3	0.70	0.50	0.70	50	MSTC_C070_F050_A070_3_50b	main_c10_r18_c070_f050_s3_b050.sbatch
main	cifar10	resnet18	4	0.70	0.50	0.70	50	MSTC_C070_F050_A070_4_50b	main_c10_r18_c070_f050_s4_b050.sbatch
main	cifar10	resnet18	5	0.70	0.50	0.70	50	MSTC_C070_F050_A070_5_50b	main_c10_r18_c070_f050_s5_b050.sbatch
main	cifar10	resnet50	1	0.70	0.50	0.70	50	MSTC_C070_F050_A070_1_50b	main_c10_r50_c070_f050_s1_b050.sbatch
main	cifar10	resnet50	2	0.70	0.50	0.70	50	MSTC_C070_F050_A070_2_50b	main_c10_r50_c070_f050_s2_b050.sbatch
main	cifar10	resnet50	3	0.70	0.50	0.70	50	MSTC_C070_F050_A070_3_50b	main_c10_r50_c070_f050_s3_b050.sbatch
main	cifar10	resnet50	4	0.70	0.50	0.70	50	MSTC_C070_F050_A070_4_50b	main_c10_r50_c070_f050_s4_b050.sbatch
main	cifar10	resnet50	5	0.70	0.50	0.70	50	MSTC_C070_F050_A070_5_50b	main_c10_r50_c070_f050_s5_b050.sbatch
main	cifar100	alexnet	1	0.70	0.50	0.70	50	MSTC_C070_F050_A070_1_50b	main_c100_alex_c070_f050_s1_b050.sbatch
main	cifar100	alexnet	2	0.70	0.50	0.70	50	MSTC_C070_F050_A070_2_50b	main_c100_alex_c070_f050_s2_b050.sbatch
main	cifar100	alexnet	3	0.70	0.50	0.70	50	MSTC_C070_F050_A070_3_50b	main_c100_alex_c070_f050_s3_b050.sbatch
main	cifar100	alexnet	4	0.70	0.50	0.70	50	MSTC_C070_F050_A070_4_50b	main_c100_alex_c070_f050_s4_b050.sbatch
main	cifar100	alexnet	5	0.70	0.50	0.70	50	MSTC_C070_F050_A070_5_50b	main_c100_alex_c070_f050_s5_b050.sbatch
main	cifar100	resnet18	1	0.70	0.50	0.70	50	MSTC_C070_F050_A070_1_50b	main_c100_r18_c070_f050_s1_b050.sbatch
