selected_size,selected_id_mean,selected_id_min,selected_id_max,selected_id_std,selected_radius_mean,selected_radius_min,selected_radius_max,selected_radius_std,selected_gain_mean,selected_gain_min,selected_gain_max,selected_gain_std,coverage_fraction_before,coverage_fraction_after,k_id,k_knn,base_delta,alpha,median_id
50,27.812047958374023,9.147192001342773,54.3555793762207,10.368948936462402,0.47747308015823364,0.20854143798351288,1.2392208576202393,0.21369771659374237,50.81999969482422,50.0,51.0,0.3841874599456787,0.0,0.056466666666666665,50,50,0.3375,1.0,33.586341857910156
50,9.802218437194824,6.494727611541748,13.80125617980957,1.2664082050323486,0.35035809874534607,0.24447625875473022,0.5195105671882629,0.04889761656522751,49.5,48.0,51.0,0.7810249924659729,0.02157777777777778,0.07657777777777777,50,50,0.2125,1.0,15.878021240234375
50,7.698932647705078,6.257571220397949,9.715123176574707,0.7250199913978577,0.3725617229938507,0.29264065623283386,0.454336017370224,0.0351313091814518,47.279998779296875,45.0,50.0,1.3570556640625,0.05215555555555555,0.10468888888888889,50,50,0.2125,1.0,13.379011154174805
50,6.706636905670166,5.632803916931152,8.566580772399902,0.6220067143440247,0.40961262583732605,0.318044513463974,0.4836941063404083,0.03658213093876839,43.86000061035156,39.0,49.0,2.7277095317840576,0.0666888888888889,0.11542222222222222,50,50,0.2125,1.0,12.821430206298828
50,6.201030254364014,4.611214637756348,7.970596790313721,0.6492549777030945,0.44750088453292847,0.34428486227989197,0.5951047539710999,0.04805148020386696,37.619998931884766,30.0,50.0,5.369878768920898,0.0772,0.119,50,50,0.2125,1.0,12.913673400878906
50,6.0419697761535645,4.585013389587402,7.723318576812744,0.7036028504371643,0.4742555320262909,0.3659259080886841,0.6163913011550903,0.05641714110970497,32.959999084472656,25.0,45.0,5.606995582580566,0.0806,0.11722222222222223,50,50,0.2125,1.0,13.29958724975586
50,5.983943462371826,4.902446269989014,7.330881118774414,0.5369495749473572,0.49357205629348755,0.39963340759277344,0.5975924730300903,0.044727154076099396,27.559999465942383,20.0,41.0,5.703191757202148,0.0806888888888889,0.11131111111111111,50,50,0.2125,1.0,13.786659240722656
50,6.001373291015625,4.858943939208984,7.2290191650390625,0.6225065588951111,0.5045372843742371,0.4142554700374603,0.6163192987442017,0.05372370034456253,24.020000457763672,17.0,42.0,5.665650844573975,0.07551111111111111,0.1022,50,50,0.2125,1.0,14.092521667480469
50,6.083306312561035,4.626084327697754,8.137628555297852,0.7066949009895325,0.5058894753456116,0.37319615483283997,0.6564799547195435,0.05803351476788521,18.860000610351562,12.0,38.0,6.190347194671631,0.0806,0.10155555555555555,50,50,0.2125,1.0,14.29144287109375
50,6.0173749923706055,4.38332462310791,7.711125373840332,0.7526538968086243,0.5196024775505066,0.3989088237285614,0.7017585635185242,0.06815586984157562,19.020000457763672,12.0,39.0,6.3796234130859375,0.07926666666666667,0.1004,50,50,0.2125,1.0,14.475461959838867
50,6.278207302093506,4.4813361167907715,7.66453218460083,0.7584726214408875,0.5059667825698853,0.4078393578529358,0.6975370645523071,0.06779570132493973,16.479999542236328,11.0,46.0,6.994969367980957,0.08275555555555555,0.10106666666666667,50,50,0.2125,1.0,14.710107803344727
50,6.080648422241211,3.8162295818328857,7.708242893218994,0.6952863931655884,0.5289764404296875,0.4111713469028473,0.8305078744888306,0.0693039521574974,14.279999732971191,10.0,32.0,4.9195122718811035,0.08288888888888889,0.09875555555555555,50,50,0.2125,1.0,14.914863586425781
50,6.214924335479736,4.210315704345703,7.879822254180908,0.8474034070968628,0.5277608036994934,0.4081597328186035,0.7638919353485107,0.07655851542949677,12.899999618530273,8.0,24.0,3.9051249027252197,0.09062222222222223,0.10495555555555555,50,50,0.2125,1.0,15.135181427001953
50,5.871278285980225,4.324556350708008,7.025032043457031,0.7047614455223083,0.561460554599762,0.4621095359325409,0.7506745457649231,0.07193253189325333,12.960000038146973,8.0,31.0,4.943521022796631,0.08877777777777777,0.10317777777777777,50,50,0.2125,1.0,15.276866912841797
50,6.254387855529785,4.559136390686035,8.694584846496582,0.9373659491539001,0.5332311391830444,0.3749864399433136,0.715124785900116,0.08098810166120529,10.720000267028809,7.0,22.0,3.549873113632202,0.09473333333333334,0.10664444444444444,50,50,0.2125,1.0,15.342830657958984
50,6.318645477294922,3.6655216217041016,8.156904220581055,0.9534540176391602,0.5361303091049194,0.4048815369606018,0.9009850025177002,0.0917944386601448,9.0600004196167,6.0,21.0,3.1837713718414307,0.09531111111111111,0.10537777777777778,50,50,0.2125,1.0,15.54155158996582
50,6.418537139892578,4.629881858825684,8.283940315246582,0.8812114596366882,0.5321248769760132,0.40389764308929443,0.7226672172546387,0.0800139531493187,8.920000076293945,6.0,22.0,3.0648980140686035,0.09717777777777778,0.10708888888888889,50,50,0.2125,1.0,15.74524211883545
50,6.271873950958252,4.087810516357422,8.251280784606934,0.8696870803833008,0.54683917760849,0.4075148105621338,0.8225722312927246,0.07889531552791595,8.359999656677246,6.0,15.0,2.6135034561157227,0.10057777777777778,0.10986666666666667,50,50,0.2125,1.0,15.823619842529297
50,6.5254011154174805,4.244161605834961,9.325170516967773,0.9544855356216431,0.5307129621505737,0.3634646534919739,0.7985959053039551,0.07918881624937057,7.920000076293945,5.0,22.0,3.192741632461548,0.10573333333333333,0.11453333333333333,50,50,0.2125,1.0,15.949975967407227
50,6.478031635284424,4.602194786071777,7.948371887207031,0.927585780620575,0.5367812514305115,0.4277935326099396,0.7388348579406738,0.08387573063373566,7.880000114440918,5.0,20.0,2.6731255054473877,0.10522222222222222,0.11397777777777778,50,50,0.2125,1.0,16.001232147216797
50,6.556836128234863,4.249727249145508,9.327068328857422,0.9504918456077576,0.5334843397140503,0.3670594394207001,0.8056018948554993,0.0802033394575119,7.599999904632568,5.0,25.0,3.5213632583618164,0.10964444444444445,0.11808888888888888,50,50,0.2125,1.0,16.111003875732422
50,6.468474864959717,4.005336761474609,8.758637428283691,1.059066891670227,0.545371413230896,0.3917778730392456,0.8567171692848206,0.0930991843342781,7.300000190734863,5.0,16.0,2.435159206390381,0.11373333333333334,0.12184444444444445,50,50,0.2125,1.0,16.1479549407959
50,6.699434280395508,5.145602226257324,8.682369232177734,0.9182996153831482,0.5223071575164795,0.39543893933296204,0.6672391295433044,0.07236095517873764,7.179999828338623,5.0,15.0,2.605302333831787,0.11888888888888889,0.12686666666666666,50,50,0.2125,1.0,16.15692710876465
50,6.668239116668701,5.0908660888671875,8.331256866455078,0.726332426071167,0.5195299386978149,0.41076844930648804,0.6722269654273987,0.058502983301877975,7.699999809265137,5.0,20.0,3.377869129180908,0.12224444444444445,0.1308,50,50,0.2125,1.0,16.10455322265625
50,6.496954441070557,3.9636709690093994,8.344412803649902,0.8780605792999268,0.5432390570640564,0.41451871395111084,0.8726544976234436,0.08254355192184448,8.260000228881836,6.0,18.0,2.820000171661377,0.1292888888888889,0.13846666666666665,50,50,0.2125,1.0,16.27724838256836
50,6.8809099197387695,4.797144412994385,8.737737655639648,0.8800162076950073,0.5181909203529358,0.40118607878685,0.7307385802268982,0.06939218193292618,8.399999618530273,5.0,21.0,3.405877113342285,0.13371111111111111,0.14304444444444445,50,50,0.2125,1.0,16.496274948120117
50,6.919675827026367,4.837602138519287,9.25090503692627,1.0841734409332275,0.5198374390602112,0.37872475385665894,0.7242320775985718,0.08750010281801224,8.020000457763672,6.0,20.0,2.5099005699157715,0.13417777777777778,0.14308888888888888,50,50,0.2125,1.0,16.48727798461914
50,6.835801601409912,3.972884178161621,8.698647499084473,1.0785655975341797,0.5245991349220276,0.40087437629699707,0.8777161240577698,0.09419768303632736,8.199999809265137,6.0,19.0,2.8635642528533936,0.13777777777777778,0.1468888888888889,50,50,0.2125,1.0,16.40971565246582
50,7.167959690093994,4.438378810882568,9.376082420349121,0.9902409315109253,0.4953814446926117,0.3710457384586334,0.7838347554206848,0.07445494085550308,9.0,6.0,25.0,3.5777087211608887,0.14155555555555555,0.15155555555555555,50,50,0.2125,1.0,16.37155532836914
50,7.334939479827881,4.998408794403076,10.097277641296387,1.1946170330047607,0.48655006289482117,0.3435027003288269,0.6939092874526978,0.0854208692908287,10.100000381469727,7.0,32.0,4.9446940422058105,0.13875555555555555,0.14997777777777777,50,50,0.2125,1.0,16.322080612182617
50,6.999929428100586,4.324911117553711,9.04143238067627,0.9849216341972351,0.5091586709022522,0.38558703660964966,0.8060880303382874,0.08096718788146973,10.520000457763672,7.0,26.0,4.691439151763916,0.14446666666666666,0.15615555555555555,50,50,0.2125,1.0,16.40592384338379
50,7.157254219055176,4.493134498596191,9.647031784057617,1.190040946006775,0.5027377009391785,0.3617897033691406,0.776784360408783,0.09295853227376938,10.100000381469727,6.0,20.0,3.966106414794922,0.1507111111111111,0.16193333333333335,50,50,0.2125,1.0,16.424453735351562
50,7.125298500061035,3.664968252182007,9.284226417541504,1.0491807460784912,0.5075008273124695,0.37859490513801575,0.9590699076652527,0.100101038813591,12.4399995803833,7.0,43.0,7.427408695220947,0.15037777777777778,0.1642,50,50,0.2125,1.0,16.540990829467773
50,7.10251522064209,4.723944187164307,9.296416282653809,1.1584001779556274,0.5075325965881348,0.37661212682724,0.7411482930183411,0.09130945056676865,13.5600004196167,8.0,41.0,7.631932258605957,0.15082222222222222,0.1658888888888889,50,50,0.2125,1.0,16.475967407226562
50,7.256204605102539,4.5878376960754395,10.45148754119873,1.1761534214019775,0.491969496011734,0.33199143409729004,0.7563049793243408,0.08736362308263779,14.020000457763672,8.0,39.0,7.134395599365234,0.15257777777777778,0.16815555555555556,50,50,0.2125,1.0,16.3284912109375
