3427310	main	tinyimagenet	resnet50	1	0.70	50	TOPOCOVER_PAPER_D070_1_50b	main_tin_r50_d070_s1_b050.sbatch
3427311	main	tinyimagenet	resnet50	2	0.70	50	TOPOCOVER_PAPER_D070_2_50b	main_tin_r50_d070_s2_b050.sbatch
3427312	main	tinyimagenet	resnet50	3	0.70	50	TOPOCOVER_PAPER_D070_3_50b	main_tin_r50_d070_s3_b050.sbatch
3427313	main	tinyimagenet	resnet50	4	0.70	50	TOPOCOVER_PAPER_D070_4_50b	main_tin_r50_d070_s4_b050.sbatch
3427314	main	tinyimagenet	resnet50	5	0.70	50	TOPOCOVER_PAPER_D070_5_50b	main_tin_r50_d070_s5_b050.sbatch
3427315	scale	cifar10	resnet18	1	0.60	50	TOPOCOVER_PAPER_D060_1_50b	scale_c10_r18_d060_s1_b050.sbatch
3427316	scale	cifar10	resnet18	2	0.60	50	TOPOCOVER_PAPER_D060_2_50b	scale_c10_r18_d060_s2_b050.sbatch
3427317	scale	cifar10	resnet18	3	0.60	50	TOPOCOVER_PAPER_D060_3_50b	scale_c10_r18_d060_s3_b050.sbatch
3427318	scale	cifar10	resnet18	4	0.60	50	TOPOCOVER_PAPER_D060_4_50b	scale_c10_r18_d060_s4_b050.sbatch
3427319	scale	cifar10	resnet18	5	0.60	50	TOPOCOVER_PAPER_D060_5_50b	scale_c10_r18_d060_s5_b050.sbatch
3427320	scale	cifar10	resnet18	1	0.80	50	TOPOCOVER_PAPER_D080_1_50b	scale_c10_r18_d080_s1_b050.sbatch
3427321	scale	cifar10	resnet18	2	0.80	50	TOPOCOVER_PAPER_D080_2_50b	scale_c10_r18_d080_s2_b050.sbatch
3427322	scale	cifar10	resnet18	3	0.80	50	TOPOCOVER_PAPER_D080_3_50b	scale_c10_r18_d080_s3_b050.sbatch
3427323	scale	cifar10	resnet18	4	0.80	50	TOPOCOVER_PAPER_D080_4_50b	scale_c10_r18_d080_s4_b050.sbatch
3427324	scale	cifar10	resnet18	5	0.80	50	TOPOCOVER_PAPER_D080_5_50b	scale_c10_r18_d080_s5_b050.sbatch
3427325	scale	cifar100	resnet18	1	0.60	50	TOPOCOVER_PAPER_D060_1_50b	scale_c100_r18_d060_s1_b050.sbatch
3427326	scale	cifar100	resnet18	2	0.60	50	TOPOCOVER_PAPER_D060_2_50b	scale_c100_r18_d060_s2_b050.sbatch
3427327	scale	cifar100	resnet18	3	0.60	50	TOPOCOVER_PAPER_D060_3_50b	scale_c100_r18_d060_s3_b050.sbatch
3427328	scale	cifar100	resnet18	4	0.60	50	TOPOCOVER_PAPER_D060_4_50b	scale_c100_r18_d060_s4_b050.sbatch
3427329	scale	cifar100	resnet18	5	0.60	50	TOPOCOVER_PAPER_D060_5_50b	scale_c100_r18_d060_s5_b050.sbatch
3427330	scale	cifar100	resnet18	1	0.80	50	TOPOCOVER_PAPER_D080_1_50b	scale_c100_r18_d080_s1_b050.sbatch
3427331	scale	cifar100	resnet18	2	0.80	50	TOPOCOVER_PAPER_D080_2_50b	scale_c100_r18_d080_s2_b050.sbatch
3427332	scale	cifar100	resnet18	3	0.80	50	TOPOCOVER_PAPER_D080_3_50b	scale_c100_r18_d080_s3_b050.sbatch
3427333	scale	cifar100	resnet18	4	0.80	50	TOPOCOVER_PAPER_D080_4_50b	scale_c100_r18_d080_s4_b050.sbatch
3427334	scale	cifar100	resnet18	5	0.80	50	TOPOCOVER_PAPER_D080_5_50b	scale_c100_r18_d080_s5_b050.sbatch
3427335	scale	tinyimagenet	resnet18	1	0.60	50	TOPOCOVER_PAPER_D060_1_50b	scale_tin_r18_d060_s1_b050.sbatch
3427336	scale	tinyimagenet	resnet18	2	0.60	50	TOPOCOVER_PAPER_D060_2_50b	scale_tin_r18_d060_s2_b050.sbatch
3427337	scale	tinyimagenet	resnet18	3	0.60	50	TOPOCOVER_PAPER_D060_3_50b	scale_tin_r18_d060_s3_b050.sbatch
3427338	scale	tinyimagenet	resnet18	4	0.60	50	TOPOCOVER_PAPER_D060_4_50b	scale_tin_r18_d060_s4_b050.sbatch
3427339	scale	tinyimagenet	resnet18	5	0.60	50	TOPOCOVER_PAPER_D060_5_50b	scale_tin_r18_d060_s5_b050.sbatch
3427340	scale	tinyimagenet	resnet18	1	0.80	50	TOPOCOVER_PAPER_D080_1_50b	scale_tin_r18_d080_s1_b050.sbatch
3427341	scale	tinyimagenet	resnet18	2	0.80	50	TOPOCOVER_PAPER_D080_2_50b	scale_tin_r18_d080_s2_b050.sbatch
3427342	scale	tinyimagenet	resnet18	3	0.80	50	TOPOCOVER_PAPER_D080_3_50b	scale_tin_r18_d080_s3_b050.sbatch
3427343	scale	tinyimagenet	resnet18	4	0.80	50	TOPOCOVER_PAPER_D080_4_50b	scale_tin_r18_d080_s4_b050.sbatch
