kind	dataset	backbone	seed	delta	batch_budget	experiment	sbatch
scale	cifar100	resnet18	5	0.80	50	TOPOCOVER_PAPER_D080_5_50b	scale_c100_r18_d080_s5_b050.sbatch
scale	tinyimagenet	resnet18	1	0.60	50	TOPOCOVER_PAPER_D060_1_50b	scale_tin_r18_d060_s1_b050.sbatch
scale	tinyimagenet	resnet18	2	0.60	50	TOPOCOVER_PAPER_D060_2_50b	scale_tin_r18_d060_s2_b050.sbatch
scale	tinyimagenet	resnet18	3	0.60	50	TOPOCOVER_PAPER_D060_3_50b	scale_tin_r18_d060_s3_b050.sbatch
scale	tinyimagenet	resnet18	4	0.60	50	TOPOCOVER_PAPER_D060_4_50b	scale_tin_r18_d060_s4_b050.sbatch
scale	tinyimagenet	resnet18	5	0.60	50	TOPOCOVER_PAPER_D060_5_50b	scale_tin_r18_d060_s5_b050.sbatch
scale	tinyimagenet	resnet18	1	0.80	50	TOPOCOVER_PAPER_D080_1_50b	scale_tin_r18_d080_s1_b050.sbatch
scale	tinyimagenet	resnet18	2	0.80	50	TOPOCOVER_PAPER_D080_2_50b	scale_tin_r18_d080_s2_b050.sbatch
scale	tinyimagenet	resnet18	3	0.80	50	TOPOCOVER_PAPER_D080_3_50b	scale_tin_r18_d080_s3_b050.sbatch
scale	tinyimagenet	resnet18	4	0.80	50	TOPOCOVER_PAPER_D080_4_50b	scale_tin_r18_d080_s4_b050.sbatch
scale	tinyimagenet	resnet18	5	0.80	50	TOPOCOVER_PAPER_D080_5_50b	scale_tin_r18_d080_s5_b050.sbatch
budget	cifar100	resnet18	1	0.70	100	TOPOCOVER_PAPER_D070_1_100b	budget_c100_r18_d070_s1_b100.sbatch
budget	cifar100	resnet18	2	0.70	100	TOPOCOVER_PAPER_D070_2_100b	budget_c100_r18_d070_s2_b100.sbatch
budget	cifar100	resnet18	3	0.70	100	TOPOCOVER_PAPER_D070_3_100b	budget_c100_r18_d070_s3_b100.sbatch
budget	cifar100	resnet18	4	0.70	100	TOPOCOVER_PAPER_D070_4_100b	budget_c100_r18_d070_s4_b100.sbatch
budget	cifar100	resnet18	5	0.70	100	TOPOCOVER_PAPER_D070_5_100b	budget_c100_r18_d070_s5_b100.sbatch
budget	cifar100	resnet18	1	0.70	500	TOPOCOVER_PAPER_D070_1_500b	budget_c100_r18_d070_s1_b500.sbatch
budget	cifar100	resnet18	2	0.70	500	TOPOCOVER_PAPER_D070_2_500b	budget_c100_r18_d070_s2_b500.sbatch
budget	cifar100	resnet18	3	0.70	500	TOPOCOVER_PAPER_D070_3_500b	budget_c100_r18_d070_s3_b500.sbatch
budget	cifar100	resnet18	4	0.70	500	TOPOCOVER_PAPER_D070_4_500b	budget_c100_r18_d070_s4_b500.sbatch
budget	cifar100	resnet18	5	0.70	500	TOPOCOVER_PAPER_D070_5_500b	budget_c100_r18_d070_s5_b500.sbatch
